japanese,reading,english,type,category,importance,example_jp,example_en,romaji
えいがかん,えいがかん,movie theater,word,Food & Drink,1,あたらしい えいがかんに いきました。,I went to a new movie theater.,atarashii eigakan ni ikimashita
えいご,えいご,English,word,School & Work,1,えいごで はなしても いいですか。,May I speak in English?,eigo de hanashite mo ii desu ka
えらびます,えらびます,choose,word,Verbs,1,いちばん いいものを えらびます。,Choose the best one.,ichiban iimono o erabi masu
エレベーター,エレベーター,"elevator, lift",word,Things & Objects,100,エレベーターは どこに ありますか。,Where is the elevator?,erebeetaa wa doko ni ari masu ka
えんぴつ,えんぴつ,pencil,word,Things & Objects,1,えんぴつで かいても いいですか。,Can I write it in pencil?,enpitsu de kaite mo ii desu ka
お,お,[polite prefix],word,Other,1,おくに。おかね。おしごと。おでんわ。,Country. Money. Job. Phone.,oku ni okane oshigo to odenwa
おいしい,おいしい,"delicious, good, tasty [i-adj.]",word,Adjectives,1,このみせの ラーメンは おいしいです。,The ramen in this shop is delicious.,konomiseno raamen wa oishii desu
おいでになります,おいでになります,"come, go, be [respect]",word,Verbs,1,あしたは なんじに おいでになりますか。,What time will you come tomorrow?,ashita wa nanji ni oideninari masu ka
多い,おおい,a lot of [i-adj.],word,Adjectives,100,このホテルは へやが 多いです。,This hotel has many rooms.,konohoteru wa heya ga ooi desu
大きい,おおきい,big [i-adj.],word,Adjectives,100,大きい くるまを かいたいです。,I want to buy a big car.,ookii kuruma o kaitai desu
大きな,おおきな,big 大きな[noun] = 大きい[noun],word,Things & Objects,100,大きな ショッピングモールにいきました。,I went to a big shopping mall.,ookina shoppingumooruniikimashita
おおぜい,おおぜい,"many (people), a great number of (people)",word,People & Family,1,えきの まえに ひとが おおぜい います。,There are a lot of people in front of the station.,ekino mae ni hito ga oozei i masu
お母さん,おかあさん,(someone's) mother,word,People & Family,100,かれの お母さんは にほんじんです。,His mom is Japanese.,kareno okaasan ha nihonjin desu
おかし,おかし,"confectionery, cake, candy, sweets",word,Food & Drink,1,にほんの おかしが すきです。,I like Japanese sweets.,nihonno okashi ga suki desu
お金,おかね,money,word,Things & Objects,100,お金は たいせつです。,Money is important.,okane ha taisetsu desu
おきます,おきます,get up (Group 2 verb),word,Verbs,1,まいにち 7じに おきます。,It wakes up at 7 o'clock every day.,mainichi 7ji ni oki masu
おくさん,おくさん,(someone's) wife,word,People & Family,1,かれの おくさんは とても きれいです。,His wife is very pretty.,kareno okusan wa tote mo kirei desu
お国,おくに,country = くに。,word,Places & Directions,1,お国は どちらですか。,Where is your country?,oku ni ha dochira desu ka
おくります,おくります,send,word,Verbs,1,メールで データを おくります。,We will send you the data by email.,meeru de deeta o okuri masu
おさけ,おさけ,"liquor, (alcoholic) drink, sake",word,Food & Drink,1,ときどき おさけを のみます。,I drink alcohol sometimes.,tokidoki osake o nomi masu
おさら,おさら,plate = さら。,word,Food & Drink,1,おおきい おさらを 5まい かいました。,I bought 5 large plates.,ookii osara o 5mai kaimashita
おじさん,おじさん,uncle,word,People & Family,1,おじさんは いつ にほんに きますか。,When will your uncle come to Japan?,ojisan wa itsu nihon ni ki masu ka
おじいさん,おじいさん,grandfather,word,People & Family,100,かれの おじいさんは いま カナダに います。,His grandfather is now in Canada.,kareno ojiisan wa ima kanada ni i masu
おしえます,おしえます,"teach, tell",word,Numbers & Counters,1,ともだちに えいごを おしえます。,I will teach English to my friends.,tomodachi ni eigo o oshie masu
おそい,おそい,late [i-adj.],word,Adjectives,1,きょうは おそいですね。,"You are late today, aren't you?",kyou wa osoi desu ne
おそく,おそく,late [noun],word,Greetings & Expressions,1,きのうは おそくまで しごとを しました。,I worked late yesterday.,kinou wa osokuma de shigoto o shimashita
おちゃ,おちゃ,tea,word,Food & Drink,1,おちゃを のみませんか。,Would you like to have a cup of tea?,ocha o nomimasen ka
おてあらい,おてあらい,"lavatory, toilet",word,Other,1,おてあらいは どこですか。,Where is the restroom?,otearai wa doko desu ka
お父さん,おとうさん,(someone's) father,word,People & Family,100,お父さんは なんさいですか。,How old is your father?,otousan ha nansai desu ka
おとうと,おとうと,(my) younger brother,word,People & Family,1,おとうとは がくせいです。,My younger brother is a student.,otouto wa gakusei desu
おとうとさん,おとうとさん,(someone's) younger brother,word,People & Family,1,おとうとさんは なんさいですか。,How old is your younger brother?,otoutosan wa nansai desu ka
男,おとこ,male,word,People & Family,100,男のひとが 5にん います。,There are 5 men.,otoko nohito ga 5nin i masu
男の子,おとこのこ,boy,word,People & Family,100,男の子が 3にん います。,There are 3 boys.,otokonoko ga 3nin i masu
おととい,おととい,the day before yesterday,word,Time & Dates,1,おととい ともだちに あいました。,I met my friend the day before yesterday.,ototoi tomodachi ni aimashita
おととし,おととし,the year before last,word,Time & Dates,100,おととし にほんに きました。,I came here two years ago.,ototoshi nihon ni kimashita
大人,おとな,adult,word,Things & Objects,100,"大人は 1,000えん、こどもは 500えんです。","Adults are 1,000 yen and children are 500 yen.","otona ha 1,000en kodomo wa 500en desu"
おなか,おなか,stomach,word,Body Parts,1,おなかが すきました。,I'm hungry.,onaka ga sukimashita
おなじ,おなじ,same,word,Adjectives,1,おなじ いみの ぶんは どれですか。,Which sentences have the same meaning?,onaji imino bun wa dore desu ka
おにいさん,おにいさん,(someone's) older brother,word,People & Family,1,おにいさんは にほんに いますか。,Is your brother in Japan?,oniisan wa nihon ni i masu ka
おにぎり,おにぎり,rice ball,word,Food & Drink,1,コンビニで おにぎりを ふたつ かいました。,I bought two rice balls at a convenience store.,konbini de onigiri o futatsu kaimashita
おねえさん,おねえさん,(someone's) older sister,word,People & Family,1,おねえさんは なにを していますか。,What is your sister doing?,oneesan wa nani o shitei masu ka
おばさん,おばさん,aunt,word,People & Family,1,おばさんは いつ にほんに きますか。,When will your aunt come to Japan?,obasan wa itsu nihon ni ki masu ka
おばあさん,おばあさん,grandmother,word,People & Family,100,おばあさんは なんさいですか。,How old is your grandmother?,obaasan wa nansai desu ka
おべんとう,おべんとう,lunch box,word,Food & Drink,1,おべんとうを つくります。,I will make a lunch box.,obentou o tsukuri masu
おぼえます,おぼえます,memorize,word,Verbs,1,アプリで あたらしい ことばを おぼえます。,Learn new words in the app.,apuri de atarashii kotoba o oboe masu
お店,おみせ,shop = みせ。,word,Places & Directions,1,えきの なかの お店で かいました。,I bought it at a shop inside the station.,ekino nakano omise de kaimashita
おもい,おもい,heavy [i-adj.],word,Adjectives,1,このノートパソコンはおもいです。,This laptop is heavy.,kononootopasokonhaomoi desu
おもしろい,おもしろい,"fun, funny, interesting [i-adj.]",word,Adjectives,1,おもしろいえいがをみました。,I watched an interesting movie.,omoshiroieigawomimashita
およぎます,およぎます,swim,word,Verbs,1,まいしゅうまつ 500メートル およぎます。,I swim 500 meters every weekend.,maishuumatsu 500meetoru oyogi masu
おります,おります,get off,word,Verbs,1,つぎの えきで でんしゃを おります。,Get off the train at the next station.,tsugino eki de densha o ori masu
おわります,おわります,"end, finish",word,Verbs,1,かいぎは 3じに おわります。,The meeting ends at 3 o'clock.,kaigi wa 3ji ni owari masu
おんがく,おんがく,music,word,Leisure & Sports,1,おんがくが だいすきです。,I love music.,ongaku ga daisuki desu
女,おんな,female,word,People & Family,100,わたしのオフィスには女のひとが 6にん います。,There are 6 women in my office.,watashinoofuisuni wa onna nohito ga 6nin i masu
女の子,おんなのこ,girl,word,People & Family,100,女の子が 3にん います。,There are 3 girls.,onnanoko ga 3nin i masu
火,か,Tuesday = かようび。,word,Time & Dates,1,3がつ15にち（火,）  March 15th (Tuesday),3gatsu15nichi（ ka
外国,がいこく,foreign country,word,Places & Directions,100,外国に いきたいです。,I want to go abroad.,gaikoku ni ikitai desu
